#{"t_start": 1761844257.714066, "env_id": "None"}
r,l,t
-2661.849594,794,697.499171
-2223.947096,2308,700.43076
-647.897798,416,701.706438
-3228.292692,1546,713.620351
-5589.500234,980,716.410351
-2692.87529,1271,719.021443
-1857.306783,1193,721.151367
-1873.05813,806,727.722706
-341.589829,697,729.406391
958.676645,340,730.213979
-2693.920915,414,731.07682
-3504.688838,1197,732.83009
-1934.095778,902,736.71612
36.999442,340,737.51885
-2339.945902,423,738.530225
-3207.050249,1684,740.919487
204.015189,340,741.699075
-4637.307331,1307,746.279964
-939.44602,1021,747.946687
-315.750074,414,748.815779
1089.122639,340,749.635175
-2289.924457,2441,754.726263
89.736247,414,755.612224
-336.760358,879,757.07056
262.582536,340,757.839337
960.495791,424,758.720339
-2220.60979,2338,763.770656
-1573.649086,2043,765.843204
-334.061601,1112,767.535505
1817.414209,1224,772.045523
-2827.308689,1990,774.011974
-4149.918634,1734,778.6298
-618.207537,1154,780.428502
2314.465752,1126,782.118233
-3724.543015,2669,787.420672
-2509.082967,2206,789.76099
-3559.86649,802,793.827642
-1907.021267,1072,795.264005
-1371.781789,1262,796.833338
-2098.327308,1017,798.45669
1545.905411,462,802.139615
-367.871711,414,803.030974
16.878299,414,803.937449
-2869.76777,2700,806.618603
909.961146,340,807.405783
489.435167,414,810.960838
174.761901,414,811.877744
-3874.959573,2117,813.975694
20.20767,340,814.748615
380.130116,423,815.631099
739.213264,340,816.448334
-4902.939326,1522,821.312272
1177.722912,414,822.171095
-266.543313,1204,823.987983
-3941.181761,2432,829.167785
-3180.042814,1640,831.032335
-4859.986893,800,832.400202
322.537068,340,833.231519
-2493.249992,1931,838.134097
-241.279204,340,838.902238
311.237039,340,839.712721
751.389391,424,840.603219
-509.261284,414,841.473987
2196.599006,1267,846.094259
553.430821,340,846.927267
-2480.258058,2386,849.450283
-3482.572196,1540,854.001341
-3138.240235,1752,856.302924
-1212.020737,414,857.153148
-1887.491712,1105,858.830845
-1517.93521,414,862.369069
-2436.279776,1121,864.147176
-2881.921154,961,865.668481
-920.099462,1052,867.224372
646.112098,340,868.012559
-4177.848803,2282,873.103349
249.401551,340,873.86275
-2035.680668,1204,875.326722
-724.193702,414,876.147175
-4639.698918,1305,880.852066
-2444.305519,906,882.245867
-3014.778975,1187,883.960164
345.051895,340,884.762023
-1692.133524,1911,889.499034
-7575.661112,1744,891.720949
717.452208,414,892.570283
-967.723968,1498,897.382884
-2132.746991,868,898.56472
194.904279,414,899.397763
-3059.552501,1092,901.13031
846.178098,1010,905.381673
-156.193731,340,906.21388
-2937.517956,1132,907.944262
-1583.002986,1112,909.346829
-3667.628618,859,910.78391
-1648.997986,1677,915.39932
340.707162,340,916.206807
-1645.992645,2263,918.513064
-4323.28376,2618,923.695277
-1274.437577,1310,925.498706
-4457.861973,1582,930.431582
-4101.501712,2220,932.713406
-948.946871,414,933.521008
-6009.067617,1073,937.91017
-795.475073,340,938.714612
-1774.552249,1292,940.324849
910.921219,340,941.138711
321.056148,1188,942.905786
-1019.815749,1276,947.507574
-3148.008387,1081,948.894185
733.415983,864,950.334681
-1363.139121,1466,954.965968
-1693.2345,1534,957.204119
-2832.296227,1284,958.696226
-507.515015,952,962.80941
-2159.77929,1439,964.563573
-3743.51275,1210,966.041688
436.352299,428,966.906796
-68.583295,414,967.758766
-1506.547755,1847,972.585566
-1777.597156,1049,973.924268
-3527.809345,1480,975.933078
1327.00564,414,979.490582
883.368239,961,981.171555
-1042.806359,1365,983.140134
-2239.371188,888,984.518926
-1633.529347,842,989.155358
-1634.213219,1913,991.720693
-2265.230324,978,993.227602
-1320.970047,1622,997.984073
-1630.41769,414,998.855921
-1397.821012,414,999.738883
-4509.602507,1404,1001.792826
-7298.492399,1262,1003.603416
1357.770445,340,1007.229089
1485.120979,1105,1008.965879
378.384345,414,1009.810739
744.605031,1558,1011.531252
394.351495,424,1012.389378
-1281.252134,340,1015.913427
-3445.158047,2124,1018.22788
-197.815895,340,1018.993039
360.041507,425,1019.875245
-2912.647967,893,1021.372424
-741.143269,414,1024.915087
-3439.85543,1465,1026.616318
-1842.033279,414,1027.436459
-3009.305681,1839,1029.344085
-3014.881222,1983,1034.123281
-3052.936448,1739,1036.500445
45.134285,340,1037.333213
-1929.327259,1056,1041.504969
-3461.956371,1221,1042.969975
-1447.694198,340,1043.761967
-3941.759709,723,1045.101076
-4249.559938,1516,1049.658671
-1829.767758,2700,1052.369646
-43.013326,340,1053.143662
910.664149,413,1053.999918
-6140.35241,772,1058.381961
-1068.207211,425,1059.308106
-2160.403505,2029,1061.440439
-1724.894443,1206,1065.561831
-3214.660765,1204,1067.335507
-2101.379426,1753,1069.167015
-2426.940202,1640,1073.600364
-755.621612,340,1074.37355
-3885.110968,1563,1076.592959
-3700.962882,1400,1078.60396
-100.61493,1719,1083.803738
-1910.215015,950,1085.088531
-1900.361277,2343,1090.767361
-1534.416619,856,1092.177418
800.078485,340,1092.961471
361.590618,1728,1095.235639
-4267.95083,1554,1099.673934
-3042.777023,1134,1101.339042
-2908.461361,1196,1102.830763
717.999673,340,1103.634779
1371.453233,416,1107.395315
-1916.611476,414,1108.280246
-3664.225508,1231,1109.778501
-1173.675837,2102,1111.956745
-2862.729077,1476,1116.672413
-3823.767102,1395,1118.274645
-1212.352901,772,1119.604855
-126.239195,1832,1124.744161
-1279.409343,437,1125.619262
-1853.978503,2153,1127.942544
385.230021,417,1131.497793
-166.976665,422,1132.419947
-8.793904,340,1133.233913
-3501.987708,1124,1134.959306
-1683.684938,1555,1137.134032
-2279.007543,2083,1142.079546
-3277.336378,2049,1144.207355
1810.757172,504,1147.928238
-3319.719354,1598,1150.249943
1781.674353,1409,1152.202777
-3054.980582,814,1153.364174
174.321725,340,1156.826499
-965.291635,414,1157.75103
-1670.804015,1443,1159.493256
1437.682104,1210,1161.330954
768.202267,414,1162.221861
-654.447051,1039,1166.600779
388.181064,1702,1168.940111
-1831.356413,1211,1170.768542
996.121264,429,1171.648252
-3625.061139,1481,1176.115226
-24.418449,414,1176.982834
202.911158,417,1177.853173
-467.239824,340,1178.655405
-1313.562686,414,1179.528007
-1983.137017,1241,1181.022572
-1858.939498,1514,1185.904778
134.451226,418,1186.775582
985.229172,340,1187.594062
-1708.039854,1233,1189.11504
-1748.936954,414,1189.963098
-2285.709047,935,1194.303281
-1888.539233,970,1195.850214
-3398.398642,908,1197.26087
-2139.891506,1104,1198.58893
-4101.002908,2603,1203.898618
660.93125,340,1204.64185
817.24123,414,1205.520055
-3086.386268,1378,1210.14692
-5651.277282,961,1211.67472
-5695.464692,1661,1213.841835
-250.914413,340,1214.63813
-82.494225,414,1215.505772
-1285.211139,414,1216.36362
-171.815324,422,1219.9314
-2374.288223,1796,1222.236647
-1290.163048,414,1223.096064
550.02381,340,1223.919741
-3540.903,2377,1230.320098
-4630.624382,1066,1231.848047
-447.447822,340,1232.621171
55.089578,1158,1234.338373
424.619238,340,1237.774248
512.73031,340,1238.621991
-2220.760857,2432,1243.141302
893.9655,1062,1247.295664
-3498.997414,2687,1253.050941
915.780045,340,1253.855615
-2859.546386,961,1255.412955
-3522.845193,1202,1259.671224
-4156.943688,1056,1261.252595
-638.970288,414,1262.095602
-503.217301,1209,1263.887078
-1071.538763,414,1264.73378
-2962.283232,2011,1270.0213
-2362.73152,1366,1272.263587
-3059.278934,1726,1278.033967
-3400.469808,1812,1280.347606
-4478.581786,996,1281.854174
-2215.795458,1714,1286.43083
1162.993218,914,1287.989824
-730.904684,414,1288.86127
-1155.788927,2066,1294.436203
1226.126162,1407,1296.298651
-6287.879808,1092,1297.923601
-227.735601,414,1298.746786
29.542475,340,1299.529632
-503.972696,701,1303.538379
-524.38752,1073,1305.16324
-2216.500668,1769,1307.046801
-1913.401569,2308,1312.176793
-1300.186803,926,1313.67726
-101.60587,414,1314.5137
-171.703496,422,1315.351083
417.056768,414,1316.232589
1228.784931,340,1317.085988
-371.29744,340,1320.707245
-33.245373,424,1321.559092
-2297.411298,2002,1323.611857
-4213.84877,2078,1328.905516
-1581.062908,1546,1330.638117
-564.766572,418,1331.507128
331.074971,2700,1337.027891
-2805.927259,1004,1338.366591
-3410.284777,1872,1343.059306
-2021.868836,414,1343.982163
568.378177,340,1344.812955
525.56571,340,1345.592865
-4517.737999,638,1346.968962
384.553884,414,1347.855072
913.690688,427,1348.736762
641.727044,340,1349.538375
-4256.058054,1589,1354.453454
-215.972023,424,1355.292392
-3921.915983,1023,1356.905246
-2453.778986,1981,1358.981148
177.969258,414,1362.567663
-3008.993847,1562,1364.332711
-2604.634564,1369,1366.248023
-2468.631508,1858,1370.882021
-3559.672664,2159,1373.025109
-5425.560806,896,1374.49503
550.928294,340,1378.219655
-3995.120272,1951,1380.302192
-2101.057075,414,1381.139654
-6947.596495,1793,1386.316524
-623.859197,407,1387.204219
-1590.121903,1630,1388.963038
-3167.322232,967,1390.230932
-3072.572447,1740,1394.965157
-1423.850931,1190,1396.728469
-1632.022966,414,1397.574835
654.290734,340,1398.361193
-4392.136215,1628,1403.272274
-588.876517,1456,1405.284563
-3871.953452,1294,1407.218771
-6767.610367,1810,1411.95043
-874.983229,2700,1414.524915
-3774.323643,1802,1419.22806
-694.015892,1662,1421.332084
-2078.815863,1228,1425.703677
-4246.219285,1614,1427.598922
-3456.759895,1608,1429.652077
-1143.894853,1073,1433.889281
-1808.223205,1627,1436.152408
-407.15439,2119,1438.82926
-3445.793569,2315,1443.913624
-3570.814605,1297,1445.426015
-1018.733846,414,1446.252328
-747.452906,340,1449.814126
3.166505,340,1450.683142
-2348.119404,1646,1452.486973
-3030.803852,1292,1453.989558
-1512.949027,2115,1458.920599
