#{"t_start": 1762127389.5289655, "env_id": "None"}
r,l,t
567.009437,680,1591.663977
716.974148,742,1596.818448
584.283021,691,1600.201988
794.172724,535,1602.909952
646.018427,541,1604.822263
504.61033,802,1607.231634
606.743696,610,1609.245119
616.285004,620,1614.365155
899.996271,927,1616.899986
794.854488,886,1619.469453
657.471766,991,1622.207666
448.273712,635,1624.31951
687.871432,676,1629.086072
932.898213,910,1631.83386
1055.528416,1016,1634.849082
536.382009,483,1636.794439
1040.519672,809,1639.198039
636.891684,747,1644.714418
538.760103,488,1646.759127
688.899148,652,1648.935597
591.858594,644,1651.174246
760.149413,592,1653.432171
609.284228,532,1655.493569
613.978857,776,1657.552758
651.151155,721,1663.069081
684.719578,648,1675.092255
957.535247,882,1681.464996
598.907424,571,1684.676156
633.029207,955,1688.542938
539.214639,537,1700.729839
268.729329,495,1702.307969
737.446976,856,1705.511074
572.114489,600,1707.99643
671.633959,495,1710.12798
791.535462,782,1714.5318
366.058645,640,1716.526851
633.807014,517,1723.08885
832.568713,890,1727.368384
539.134829,514,1734.985625
458.420734,540,1737.683481
541.8358,574,1740.923069
696.552229,663,1745.492304
889.869845,727,1759.905107
946.200536,718,1764.334797
784.993621,734,1766.625899
1110.735444,1007,1769.128267
475.015501,551,1771.172928
1074.280393,878,1773.599794
688.856716,563,1779.879965
580.751419,714,1784.279483
563.82573,721,1787.267694
639.678468,751,1789.456853
586.554352,504,1791.317096
503.778431,432,1793.088392
623.548632,591,1797.991082
580.684009,671,1800.021349
479.560967,471,1801.772542
706.680444,770,1804.107831
938.972707,715,1806.675832
632.232818,594,1808.592554
746.015016,714,1812.097301
1197.352078,959,1818.791004
794.285054,876,1821.458989
473.473273,449,1823.355994
449.802191,469,1825.227238
828.967422,712,1828.394564
619.461252,483,1830.279613
651.8246,612,1834.974787
711.97666,992,1837.81665
444.158879,498,1839.3385
982.791023,757,1842.34108
837.190954,624,1844.001714
604.160753,604,1846.60922
604.321829,786,1852.191401
818.248825,684,1854.674253
581.249382,791,1857.474942
619.929161,656,1859.557833
486.346043,587,1861.554014
490.993317,901,1867.233857
915.310479,810,1869.650827
440.024275,549,1871.291739
845.437084,853,1874.069286
618.382634,645,1875.716027
558.124922,626,1877.993068
631.765913,502,1880.03159
529.58278,616,1885.066257
653.172629,537,1886.68304
426.790939,533,1888.118179
503.929354,649,1891.463117
627.218946,533,1893.642684
584.641502,628,1896.524439
432.513201,493,1898.200621
1002.785087,839,1904.415301
526.896656,601,1906.426593
264.305419,491,1908.616934
418.035116,635,1910.641395
758.583261,790,1912.654056
499.356605,536,1914.890716
491.547762,623,1919.821448
855.720225,801,1922.056523
696.507481,772,1924.390045
647.63511,635,1926.200613
556.359511,607,1928.174038
527.788369,445,1929.91876
608.166156,835,1936.02691
542.67963,590,1938.600888
454.158674,558,1940.859882
584.353429,477,1942.422819
812.229426,1118,1945.235417
841.490216,792,1947.715225
608.88319,513,1952.240201
902.195404,832,1954.987938
560.322115,687,1957.609059
666.356998,618,1959.548218
781.650119,915,1963.200326
507.838655,548,1964.748089
626.64732,532,1969.826425
837.534278,1127,1972.454962
403.390323,502,1974.565907
572.537579,523,1976.380563
662.380217,742,1978.477778
834.740567,664,1980.595654
912.517091,898,1990.501074
790.060569,783,1994.018926
636.811086,548,1997.001036
633.025598,655,2004.209264
852.433723,1056,2013.966507
814.401913,1175,2026.902502
652.041239,814,2029.93058
675.138282,716,2032.199432
614.929805,695,2034.437146
423.951609,502,2038.603951
424.656832,572,2040.901721
1018.482781,768,2046.984133
423.147407,492,2049.040249
648.907772,734,2052.323574
516.095624,682,2056.542821
1063.871871,1256,2060.185901
495.097491,570,2065.784624
596.518769,484,2067.742877
582.692367,712,2076.693163
550.283317,514,2079.28673
605.710619,589,2083.409443
493.705202,622,2086.101223
922.044122,908,2097.209397
828.238598,740,2100.767409
913.618787,1014,2111.835453
1017.542358,805,2121.275449
844.556087,690,2123.325754
686.494681,824,2130.286099
525.85117,472,2132.16616
779.478088,667,2137.574985
543.752842,496,2139.177049
628.623041,581,2141.284347
674.59444,984,2144.923374
980.743996,721,2147.516571
