#{"t_start": 1761663077.470182, "env_id": "None"}
r,l,t
22.599333,1377,1107.32824
17.222762,1525,1109.865503
63.636,667,1111.320807
-69.297571,1868,1114.405766
57.030238,2378,1117.908362
-71.553571,1059,1125.61823
82.440333,1900,1129.585442
-75.298,745,1131.996706
-73.306,583,1133.283955
-47.628,2700,1136.490987
-48.138667,1086,1138.372437
68.372,1086,1146.798024
52.518,1237,1149.296939
73.657619,411,1150.29353
62.685476,1694,1152.901993
88.736333,340,1153.847874
-74.729667,1366,1156.619967
73.372667,414,1157.614963
62.813,1389,1159.995602
63.74081,847,1161.533069
-104.609952,1856,1168.180469
63.906667,414,1169.047245
-58.189333,1140,1170.936386
-88.866095,853,1172.551314
66.935571,1641,1174.978879
-28.727143,1665,1177.379836
-60.354,746,1178.793181
78.474,668,1184.941713
63.91,414,1185.906097
-134.216714,1464,1188.222761
-102.116571,2191,1191.399545
-95.923,1149,1195.074941
73.649429,1153,1198.408608
-58.125238,1262,1205.57667
82.691667,1532,1208.105858
-66.935714,1593,1210.41956
-63.891381,1862,1213.053232
-96.068857,1371,1215.221075
-74.254333,1557,1217.469081
-88.212,1467,1224.241749
-76.239238,1737,1226.675723
-52.968667,1099,1228.451712
63.495667,766,1229.887957
-109.312333,1557,1232.252744
-62.275,772,1233.696119
-2.440048,1848,1240.725567
68.587333,340,1241.574562
-70.444,873,1243.199906
-46.323,1489,1245.475618
58.099667,1090,1247.214524
82.598,1513,1249.487642
-70.299143,748,1250.944449
82.503667,1305,1257.350725
-84.228381,1248,1259.20413
93.125524,420,1260.180665
-72.988333,917,1261.89612
-49.60019,1869,1264.640922
-100.662667,1048,1266.422572
48.148,1358,1268.890363
38.326667,1231,1278.09672
-53.345667,1706,1282.238055
83.119381,741,1283.873831
-76.0,750,1285.522127
124.45719,1289,1287.749156
53.212667,1042,1289.557674
68.608333,1063,1292.166342
82.868048,1579,1299.453981
63.23319,418,1300.424988
64.334667,340,1301.299326
-93.24519,861,1302.896304
-81.37019,1289,1304.952502
-68.533,1845,1307.595185
72.93,847,1309.109303
-74.103429,2026,1311.832362
12.867571,1355,1321.504001
36.898286,1211,1323.64149
-70.894667,1131,1325.664649
-47.145,1781,1328.457505
64.881667,340,1329.350284
58.414333,414,1330.326786
53.797333,888,1332.046995
73.199,666,1333.445789
-48.309905,1465,1340.96215
57.982,1606,1343.541705
32.81,1392,1345.884654
-93.746333,1249,1348.060532
83.507667,756,1349.681953
68.618,340,1350.823347
-70.383,2141,1359.190736
-13.263381,1467,1361.466159
64.827,340,1362.290335
62.894,1468,1364.528816
-83.434333,721,1365.937271
-123.574143,1810,1368.727401
-30.656333,1049,1372.806825
-72.769,949,1383.733315
63.982333,340,1384.72016
-28.268667,1352,1387.176336
52.549667,1054,1389.151065
77.413,1689,1391.917148
-58.638,1880,1394.993724
57.817667,1018,1397.390428
72.681,1309,1406.398216
-64.627333,1407,1410.116934
