#{"t_start": 1761617022.1620889, "env_id": "None"}
r,l,t
-5965.653916,1160,212.030591
3706.110171,340,212.883436
-27265.972616,1110,214.731207
3296.041574,340,215.584238
3551.651115,340,219.640799
2537.335826,434,220.586514
3231.506729,340,221.48104
-9368.217723,340,222.355535
-6774.933382,927,224.038345
-23200.49363,1421,226.224126
-2772.555701,429,227.15345
558.169377,340,228.016751
2617.599456,410,228.978819
3421.066671,340,229.875011
-7981.436807,424,230.811671
-23962.44621,1111,232.629922
1653.887932,340,233.525561
3561.137852,340,234.413557
-27342.311104,2336,241.046551
-15206.438981,1077,242.812314
-7182.53229,1362,244.788078
-11440.250116,1251,246.806037
-1644.969066,414,247.729841
-11087.725145,1836,250.411533
3305.696087,414,254.411918
-15653.054418,1698,256.535899
-19211.04655,1028,258.256403
-4818.98724,1624,260.237381
-17253.855095,1021,261.931732
-11073.494359,2087,264.707075
2505.279465,405,265.621531
3523.941901,340,269.639347
-10919.924182,1365,271.913612
-13951.625744,1201,273.937893
-7637.632641,1510,276.200031
3180.888326,340,277.043834
-18905.398353,1252,279.081611
2286.346788,414,280.007484
3304.135939,340,280.881966
-2527.80511,1382,283.049517
-11880.310002,425,287.038987
1732.003798,414,288.022129
3189.449031,340,288.895202
3056.895583,425,289.843555
4021.623483,340,290.731773
3938.753075,340,291.614425
3725.296232,340,292.519005
2314.734864,414,293.488949
-6152.690621,443,294.455969
-16943.108536,414,295.380929
3016.203429,414,296.31289
-1045.348567,426,297.269102
3064.915053,340,298.15162
-4763.805907,1531,300.491718
-11503.892847,1229,302.42861
1952.673467,442,303.382248
769.732602,340,307.564165
-2240.11866,1371,309.823511
2519.610411,340,310.674869
-13362.791381,424,311.561425
-10012.925926,1370,313.747015
-2157.595473,418,314.689436
-12899.438308,1064,316.594311
-10958.607588,1217,318.593979
1739.621803,340,319.464516
2181.576053,340,320.353349
-1616.694364,1350,325.529764
-16794.148889,977,327.278044
3789.599948,340,328.178092
-10101.937991,1277,330.204821
-1435.236054,426,331.251716
-1499.355225,414,332.499186
-370.826485,340,333.529072
3541.878985,340,334.521209
2017.707672,417,335.466007
2608.981675,340,336.349243
3233.089428,418,337.303918
-2638.960877,1253,339.364157
3943.919907,424,340.364513
2782.698478,414,341.464997
-1495.037896,414,346.27668
3792.9601,340,347.225006
3627.524275,414,348.178702
3511.40678,425,349.132312
-9994.378469,1328,351.176952
3680.134185,340,352.030545
-4929.735936,2569,355.354491
3570.759171,340,356.218522
-2089.517162,2375,362.508313
-4340.061753,424,363.514488
-1484.768499,922,365.538632
4157.981805,340,366.826996
3375.62729,340,367.836376
2702.861566,414,368.812392
2809.199522,340,369.704909
3614.307078,414,370.66548
3127.832534,340,371.559352
3262.712232,414,372.582761
3452.93228,340,373.433017
3161.643184,1894,376.115414
797.079289,340,376.975431
-4188.426314,1095,378.61101
966.844282,414,382.745937
-15567.076581,1946,385.008623
3252.18464,340,385.865502
3220.435808,340,386.746293
2659.794059,414,387.692088
2445.372779,431,388.662431
3306.806011,340,389.55427
16.584638,1161,391.499424
-19939.852523,1152,393.426759
-2175.730759,1477,395.684509
3165.055404,340,396.504519
3812.369038,340,400.693698
3182.351081,340,401.633417
-13032.352906,414,402.587202
2014.335083,474,403.59071
-12670.972185,1531,405.553352
3697.726055,340,406.431861
-267.747838,425,407.407124
-412.934342,412,408.29292
-3811.144542,414,409.220649
634.584173,424,410.161236
-27556.183964,2232,413.133839
-11526.020825,1165,418.174172
-1415.441873,2044,421.194459
3459.97553,340,422.064014
-6693.697914,445,423.027754
-6388.128965,426,423.969391
-15298.835489,779,425.474974
-9989.40513,414,426.425293
-12472.924767,989,428.255611
3042.205622,1030,429.993659
-4440.108983,2670,436.921779
-1150.517023,1129,438.804818
3031.380382,414,439.707867
2567.643479,340,440.553455
3560.313594,340,441.453215
4293.900146,340,442.373358
-2346.338256,421,443.34083
-2377.976131,340,444.23737
3328.62837,414,445.201355
-301.249272,2544,448.006466
3263.25463,414,452.097053
3221.932916,414,453.101087
301.112288,1237,455.096779
-8647.231765,1165,456.938629
-4000.384163,414,457.840615
1071.084244,340,458.727033
1407.536261,340,459.604084
-1378.729458,416,460.760504
-4971.46427,1082,462.823495
-2484.877981,1246,464.758888
-2153.214642,414,465.675328
-25456.013315,1066,470.719916
-12694.55293,1405,472.624775
-1015.343246,340,473.437187
2891.573995,340,474.319589
4276.817298,340,475.253066
2805.25321,1264,477.328798
657.264158,414,478.245373
-1510.64327,1281,480.262995
-12308.629086,2060,482.530377
-9046.8431,340,483.363324
