#{"t_start": 1761694551.8166358, "env_id": "None"}
r,l,t
-6.0,708,1939.402109
-9.0,537,1941.791811
175.0,423,1943.861539
-116.0,414,1945.932176
113.0,743,1949.009873
-238.0,770,1952.321198
105.0,543,1955.002174
341.0,1189,1962.842858
-128.0,930,1966.185305
-53.0,651,1968.674633
-53.0,485,1970.994682
-106.0,340,1973.090471
537.0,1437,1977.384586
20.0,340,1979.259055
197.0,643,1982.037308
-60.0,340,1984.038212
-46.0,554,1986.622597
378.0,1304,1991.362918
-104.0,586,1998.185479
-29.0,587,2000.540867
175.0,801,2003.387636
-151.0,937,2006.866546
343.0,417,2009.086105
-74.0,340,2010.931235
12.0,506,2013.110322
90.0,340,2014.986142
16.0,340,2016.906193
-329.0,703,2019.993984
-175.0,567,2022.594398
43.0,637,2025.482294
116.0,650,2028.436867
-32.0,592,2031.028269
-8.0,340,2032.875789
707.0,1755,2044.781088
-55.0,517,2047.082979
-165.0,773,2050.231705
-94.0,340,2052.158469
-59.0,637,2055.118591
0.0,340,2057.046772
-48.0,662,2060.047237
32.0,340,2062.261916
-151.0,627,2064.927969
420.0,1164,2068.949408
-61.0,685,2072.065272
-2.0,558,2079.816308
-190.0,678,2082.469168
-23.0,585,2084.824402
-33.0,631,2087.488773
163.0,1345,2092.160716
21.0,521,2094.777233
139.0,425,2097.066178
447.0,1335,2101.74982
-229.0,417,2103.742711
63.0,637,2106.469432
540.0,1142,2110.542261
8.0,692,2118.024061
30.0,660,2120.601456
4.0,610,2123.457312
192.0,414,2125.476531
37.0,791,2128.635634
132.0,558,2131.384934
154.0,414,2133.736042
-61.0,839,2137.095893
56.0,340,2139.162665
33.0,913,2142.518792
60.0,754,2145.444115
54.0,602,2148.155224
113.0,621,2156.373621
-96.0,340,2157.846347
49.0,919,2161.048614
-8.0,744,2164.056027
202.0,826,2167.506886
-163.0,529,2170.133359
-44.0,340,2171.938881
669.0,1253,2176.351391
353.0,899,2180.453401
83.0,571,2183.195842
-115.0,683,2186.489092
462.0,1004,2196.523997
-100.0,600,2199.62028
91.0,715,2203.778927
-246.0,604,2208.178285
350.0,1314,2215.318813
-187.0,817,2219.842206
41.0,549,2223.198163
-75.0,511,2226.276463
294.0,1056,2231.863653
-86.0,796,2235.856803
850.0,1424,2249.844257
-43.0,521,2252.758172
29.0,587,2256.189557
172.0,622,2260.085227
48.0,620,2264.545043
18.0,548,2268.191571
46.0,566,2271.752775
-21.0,667,2276.289117
-83.0,1401,2282.65553
497.0,1243,2288.913126
68.0,560,2293.199979
145.0,655,2304.831912
104.0,720,2308.599915
154.0,854,2312.804785
406.0,1168,2319.203145
46.0,478,2322.624695
96.0,414,2325.38343
-160.0,474,2328.343741
-10.0,340,2331.305457
451.0,1163,2337.969537
-2.0,586,2341.256439
-57.0,601,2344.668494
-103.0,443,2347.908531
49.0,799,2360.782592
-81.0,693,2365.192373
-168.0,646,2369.007464
-148.0,966,2374.238151
232.0,728,2378.754626
246.0,1158,2384.418858
156.0,414,2387.112333
430.0,1170,2392.645976
202.0,1056,2397.929343
108.0,340,2400.675918
165.0,1275,2413.914066
-18.0,340,2416.111913
133.0,651,2420.236895
53.0,625,2424.232337
191.0,759,2428.22019
21.0,755,2433.038014
218.0,1240,2440.088428
91.0,577,2443.366805
867.0,1623,2450.897373
13.0,433,2453.55407
-56.0,340,2456.150148
791.0,1595,2470.342059
9.0,637,2473.690658
-160.0,660,2477.384479
-36.0,820,2482.087399
225.0,965,2486.823772
-30.0,646,2490.862106
325.0,905,2496.517587
131.0,675,2500.166467
-52.0,340,2502.719747
-36.0,580,2506.675153
